Date ,Rank 1,Rank 2,Rank 3
08/26/2022,Whatsapp,Instagram,Netflix
08/27/2022,Whatsapp,Instagram,Chrome
08/28/2022,Whatsapp,Instagram,WeChat
08/29/2022,Whatsapp,Chrome,WeChat
08/30/2022,Whatsapp,LinkedIn,Chrome
08/31/2022,Whatsapp,Zoom,WeChat
09-01-2022,Instagram,Whatsapp,Spotify
09-02-2022,Whatsapp,WeChat,Instagram
09-03-2022,Facebook,YouTube,Instagram
09-04-2022,Instagram,Gallery,YouTube
09-05-2022,Whatsapp,Instagram,Chrome
09-06-2022,Whatsapp,WeChat,Instagram
09-07-2022,Whatsapp,Instagram,Gmail
09-08-2022,Instagram,Whatsapp,Linkedin
09-09-2022,Whatsapp,Maps,Instagram
09-10-2022,Whatsapp,Instagram,Maps
09-11-2022,Whatsapp,Instagram,WeChat
09-12-2022,Whatsapp,Instagram,WeChat
09/13/2022,Whatsapp,Zoom,Instagram
09/14/2022,Whatsapp,Gallery,Gmail
09/15/2022,Whatsapp,Zoom,Chrome
09/16/2022,Whatsapp,Zoom,WeChat
09/17/2022,Whatsapp,Spotify,Chrome
09/18/2022,Whatsapp,WeChat,Maps
09/19/2022,Whatsapp,Spotify,WeChat
09/20/2022,Zoom,Whatsapp,WeChat
09/21/2022,Whatsapp,WeChat,Hulu
09/22/2022,Instagram,spotify,WeChat
09/23/2022,Zoom,WeChat,Hulu
09/24/2022,Whatsapp,Spotify,Instagram
09/25/2022,Gallery,Maps,Chrome
09/26/2022,map,Gallery,Chrome
09/27/2022,Instagram,Whatsapp,WeChat
09/28/2022,map,Chrome,Zoom
09/29/2022,Zoom,Instagram,WeChat
09/30/2022,Gmail,Whatsapp,Gmail
10-01-2022,map,Gallery,WeChat
10-02-2022,Gallery,Gmail,Hulu
10-03-2022,Hulu,Spotify,Zoom
10-04-2022,Instagram,Whatsapp,Spotify
10-05-2022,Whatsapp,Instagram,WeChat
10-06-2022,Youtube,Chrome,WeChat
10-07-2022,Chrome,WeChat,Instagram
10-08-2022,LinkedIn,Whatsapp,Instagram
10-09-2022,Chrome,Spotify,Linkedin
10-10-2022,Zoom,Instagram,WeChat
10-11-2022,Whatsapp,LinkedIn,Chrome
10-12-2002,WeChat,Gmail,Gallery
10/13/2022,WeChat,Instagram,Maps
10/14/2022,Whatsapp,Chrome,Linkedin
10/15/2022,LinkedIn,Instagram,WeChat
10/16/2022,Whatsapp,maps,Spotify
10/17/2022,map,Spotify,Chrome
10/18/2022,Spotify,Gallery,Gmail
10/19/20222,Whatsapp,LinkedIn,Instagram
10/20/2022,WeChat,Gallery,Whatsapp
10/21/2022,Instagram,Gmail,Zoom
10/22/2022,LinkedIn,Instagram,Chrome
10/23/2022,Spotify,Zoom,Maps
